text_object,containsMention_category,weekday_category
"rt good for you i lost four months of pay still tied up with unemployment and have seen a significant drop i…",1,2
"you know being on dick pills and coke and still kicking ass is another level",1,2
"rt th win <u+f><u+f><u+f><u+f><u+f><u+f><u+f> <u+><u+fef> rt = vote<u+><u+fef> <u+><u+fef> reply = vote<u+><u+fef> im voting for exo for favorite social artist at the amas …",1,2
"rt siti online learning ni sy percaya ada limitation yes we are still adapting tak mungkin psyarah boleh cover syllabus semaks…",1,2
"rt have a great day dont skip ur bfast<u+f><u+>",1,2
"block them<u+f>",1,2
"rt actually thats not bidens house its a money pit he bought in for $ spent years renovating and sold in …",1,2
"its always understandable you cant always give to the point your own cup is almost empty whethe…",1,2
"rt the boyzs sword of victory intro and the other groups reactions were gold i remember getting goosebumps when i first…",1,2
"yeah i think thats the most likely answer tbh bc she had a recent boom too",1,2
"is it too late to sleep?",0,2
"rt breaking lagos govt invited us to intervene in endsars crisis says | thecable",1,2
"@madeinhaiiti years of friendship i think they have",1,2
"rt ok so i’m a copywriter in my vanilla life i write websites ads emails video scripts etc my question is can i be…",1,2
"no u b i t c h",1,2
"completely different set of circumstances a % chance of death won’t stop our family gath…",1,2
"acho q evertwhere",1,2
"rt in paypal accidentally credited a man from pennsylvania with $ quadrillion usd",1,2
" she’s a beautiful asian woman wdym",1,2
"do you understand how averages work??",1,2
"dani thats not how that works haha willy go brrrrr",1,2
"rt cw she ra ok but like catra’s first birthday with people who love her for who she is and care about her and want to…",1,2
"object based background function",0,2
"i struggle with the fact that i will never be louis’ sister every fooking day",0,2
"decades not years decades of secret killings and assassinations to come our streets won’t be safe when trump an…",0,2
"that’s besides the point girl",0,2
"grove neat hadnt seen that before thanks ",1,2
"rt her sudden mood change",1,2
"twt vamos i vote rm of bts twt for tdyawards biggestcrush",1,2
"rt me on among us explaining why it’s not me before getting voted out",1,2
"pac thugz get lonely too radio version",0,2
"rt how many rts can this true american hero get?",1,2
"rt wannabe dictator says what?",1,2
"rt spk spitta another gem",1,2
"footballteasers solved clue d after his horrific injury against liverpool sir alex ferguson converted hi…",0,2
"rt nomanssky when things turn gold and black",1,2
"this is a true statement",1,2
"ours were so messed up today they both took long naps at pm fingers crossed they adjust",1,2
"rt mcleod my heart goes out to the family of walter wallace jr now more than ever we must unify as a community through this sens…",1,2
"rt ""this is especially critical now when we are witnessing an exponential rise in the incidence of young people with gd"" in l…",1,2
"fandom",0,2
"happy birthday",1,2
"dmg hello",1,2
"my entire family can suck my dick",0,2
"rt now we know why they dont give him tight pants in spn <u+fa><u+fa><u+fa> he really was boobs out and ass out <u+><u+fef><u+fa>",1,2
"rt they say trees are % air put that theory to the test quickhits",1,2
"rt i was in my own community’s fb group and people are so pissed off at him one person was pro trump that’s it",1,2
"eric trump is a real tough guy just like his father who is afraid of tough questions",1,2
"aww man sorry for your loss hangin there <u+fb>",1,2
"lmfaooo",1,2
"a man charging at you with a knife isnt dangerous apparently no i guess in the black ""community"" they…",1,2
"rt dont say anything just rt we wont forget<u+> leadership lekkimassacre",1,2
"aespa layout please hueew",0,2
